year,borough,incident_classification,incident_classification_group,zipcode,incident_count,avg_prop_total_value,avg_prop_gross_sqft
2023,BRONX,Abandoned Derelict Vehicle Fire,NonStructural Fires,10453,1,459685.0,16550.0
2023,BRONX,Alarm System - Defective,NonMedical Emergencies,10453,49,459685.0,16550.0
2023,BRONX,Alarm System - Testing,NonMedical Emergencies,10453,57,459685.0,16550.0
2023,BRONX,Alarm System - Unnecessary,NonMedical Emergencies,10453,371,459685.0,16550.0
2023,BRONX,Assist Civilian - Non-Medical,NonMedical Emergencies,10453,668,459685.0,16550.0
2023,BRONX,Automobile Fire,NonStructural Fires,10453,17,459685.0,16550.0
2023,BRONX,Brush Fire,NonStructural Fires,10453,2,459685.0,16550.0
2023,BRONX,Carbon Monoxide - Code 1 - Investigation,NonMedical Emergencies,10453,81,459685.0,16550.0
2023,BRONX,Carbon Monoxide - Code 2 - Incident (1-9 ppm),NonMedical Emergencies,10453,10,459685.0,16550.0
2023,BRONX,Carbon Monoxide - Code 3 - Emergency (over 9 ppm),NonMedical Emergencies,10453,4,459685.0,16550.0
2023,BRONX,Defective Oil Burner,NonMedical Emergencies,10453,8,459685.0,16550.0
2023,BRONX,Demolition Debris or Rubbish Fire,NonStructural Fires,10453,43,459685.0,16550.0
2023,BRONX,Downed Tree,NonMedical Emergencies,10453,2,459685.0,16550.0
2023,BRONX,Elevator Emergency - Occupied,NonMedical Emergencies,10453,635,459685.0,16550.0
2023,BRONX,Elevator Emergency - Unoccupied,NonMedical Emergencies,10453,240,459685.0,16550.0
2023,BRONX,Hospital Fire,Structural Fires,10453,1,459685.0,16550.0
2023,BRONX,Manhole Fire - Blown Cover,NonStructural Fires,10453,2,459685.0,16550.0
2023,BRONX,Manhole Fire - Other,NonStructural Fires,10453,2,459685.0,16550.0
2023,BRONX,Manhole Fire - Seeping Smoke,NonStructural Fires,10453,5,459685.0,16550.0
2023,BRONX,Medical - Assist Civilian,Medical Emergencies,10453,14,459685.0,16550.0
2023,BRONX,Medical - Breathing / Ill or Sick,Medical Emergencies,10453,801,459685.0,16550.0
2023,BRONX,Medical - EMS Link 10-91,Medical Emergencies,10453,2449,459685.0,16550.0
2023,BRONX,Medical MFA - EMS Link,Medical MFAs,10453,14,459685.0,16550.0
2023,BRONX,Medical MFA - PD Link,Medical MFAs,10453,17,459685.0,16550.0
2023,BRONX,Medical - No PT Contact EMS is Onscene,Medical Emergencies,10453,574,459685.0,16550.0
2023,BRONX,Medical - PD Link 10-91,Medical Emergencies,10453,913,459685.0,16550.0
2023,BRONX,Medical - Serious Life Threatening,Medical Emergencies,10453,63,459685.0,16550.0
2023,BRONX,Medical - Victim Deceased,Medical Emergencies,10453,55,459685.0,16550.0
2023,BRONX,Multiple Dwelling 'A' - Compactor fire,Structural Fires,10453,5,459685.0,16550.0
2023,BRONX,Multiple Dwelling 'A' - Food on the stove fire,Structural Fires,10453,212,459685.0,16550.0
2023,BRONX,Multiple Dwelling 'A' - Other fire,Structural Fires,10453,66,459685.0,16550.0
2023,BRONX,Multiple Dwelling 'B' Fire,Structural Fires,10453,18,459685.0,16550.0
2023,BRONX,Non-Medical 10-91 (Unnecessary Alarm),NonMedical Emergencies,10453,14,459685.0,16550.0
2023,BRONX,Non-Medical MFA - ERS,NonMedical MFAs,10453,4,459685.0,16550.0
2023,BRONX,Non-Medical MFA - Phone,NonMedical MFAs,10453,163,459685.0,16550.0
2023,BRONX,Non-Medical MFA - Private Fire Alarm,NonMedical MFAs,10453,9,459685.0,16550.0
2023,BRONX,Non-Medical MFA - Verbal,NonMedical MFAs,10453,1,459685.0,16550.0
2023,BRONX,Odor - Other Smoke,NonMedical Emergencies,10453,30,459685.0,16550.0
2023,BRONX,Odor - Other Than Smoke,NonMedical Emergencies,10453,237,459685.0,16550.0
2023,BRONX,Other Commercial Building Fire,Structural Fires,10453,68,459685.0,16550.0
2023,BRONX,Other Transportation Fire,NonStructural Fires,10453,1,459685.0,16550.0
2023,BRONX,Private Dwelling Fire,Structural Fires,10453,8,459685.0,16550.0
2023,BRONX,Remove Civilian - Non-Fire,NonMedical Emergencies,10453,2,459685.0,16550.0
2023,BRONX,School Fire,Structural Fires,10453,1,459685.0,16550.0
2023,BRONX,Sprinkler System - Malfunction,NonMedical Emergencies,10453,1,459685.0,16550.0
2023,BRONX,Sprinkler System - Working on System,NonMedical Emergencies,10453,1,459685.0,16550.0
2023,BRONX,Store Fire,Structural Fires,10453,2,459685.0,16550.0
2023,BRONX,Undefined Emergency,NonMedical Emergencies,10453,12,459685.0,16550.0
2023,BRONX,Utility Emergency - Electric,NonMedical Emergencies,10453,65,459685.0,16550.0
2023,BRONX,Utility Emergency - Gas,NonMedical Emergencies,10453,228,459685.0,16550.0
2023,BRONX,Utility Emergency - Steam,NonMedical Emergencies,10453,26,459685.0,16550.0
2023,BRONX,Utility Emergency - Water,NonMedical Emergencies,10453,426,459685.0,16550.0
2023,BRONX,Vehicle Accident - Other,NonMedical Emergencies,10453,97,459685.0,16550.0
2023,BRONX,Vehicle Accident - With Extrication,NonMedical Emergencies,10453,2,459685.0,16550.0
2023,BRONX,Abandoned Derelict Vehicle Fire,NonStructural Fires,10454,3,669273.0,16880.0
2023,BRONX,Alarm System - Defective,NonMedical Emergencies,10454,30,669273.0,16880.0
2023,BRONX,Alarm System - Testing,NonMedical Emergencies,10454,59,669273.0,16880.0
2023,BRONX,Alarm System - Unnecessary,NonMedical Emergencies,10454,327,669273.0,16880.0
2023,BRONX,Assist Civilian - Non-Medical,NonMedical Emergencies,10454,630,669273.0,16880.0
2023,BRONX,Automobile Fire,NonStructural Fires,10454,9,669273.0,16880.0
2023,BRONX,Carbon Monoxide - Code 1 - Investigation,NonMedical Emergencies,10454,50,669273.0,16880.0
2023,BRONX,Carbon Monoxide - Code 2 - Incident (1-9 ppm),NonMedical Emergencies,10454,9,669273.0,16880.0
2023,BRONX,Carbon Monoxide - Code 3 - Emergency (over 9 ppm),NonMedical Emergencies,10454,3,669273.0,16880.0
2023,BRONX,Carbon Monoxide - Code 4 - No Detector Activation,NonMedical Emergencies,10454,2,669273.0,16880.0
2023,BRONX,Defective Oil Burner,NonMedical Emergencies,10454,6,669273.0,16880.0
2023,BRONX,Demolition Debris or Rubbish Fire,NonStructural Fires,10454,38,669273.0,16880.0
2023,BRONX,Downed Tree,NonMedical Emergencies,10454,2,669273.0,16880.0
2023,BRONX,Elevator Emergency - Occupied,NonMedical Emergencies,10454,471,669273.0,16880.0
2023,BRONX,Elevator Emergency - Unoccupied,NonMedical Emergencies,10454,335,669273.0,16880.0
2023,BRONX,Factory Fire,Structural Fires,10454,2,669273.0,16880.0
2023,BRONX,Manhole Fire - Blown Cover,NonStructural Fires,10454,1,669273.0,16880.0
2023,BRONX,Manhole Fire - Other,NonStructural Fires,10454,1,669273.0,16880.0
2023,BRONX,Manhole Fire - Seeping Smoke,NonStructural Fires,10454,10,669273.0,16880.0
2023,BRONX,Maritime Emergency,NonMedical Emergencies,10454,1,669273.0,16880.0
2023,BRONX,Medical - Assist Civilian,Medical Emergencies,10454,11,669273.0,16880.0
2023,BRONX,Medical - Breathing / Ill or Sick,Medical Emergencies,10454,809,669273.0,16880.0
2023,BRONX,Medical - EMS Link 10-91,Medical Emergencies,10454,1071,669273.0,16880.0
2023,BRONX,Medical MFA - EMS Link,Medical MFAs,10454,13,669273.0,16880.0
2023,BRONX,Medical MFA - PD Link,Medical MFAs,10454,11,669273.0,16880.0
2023,BRONX,Medical - No PT Contact EMS is Onscene,Medical Emergencies,10454,420,669273.0,16880.0
2023,BRONX,Medical - PD Link 10-91,Medical Emergencies,10454,512,669273.0,16880.0
2023,BRONX,Medical - Serious Life Threatening,Medical Emergencies,10454,45,669273.0,16880.0
2023,BRONX,Medical - Victim Deceased,Medical Emergencies,10454,31,669273.0,16880.0
2023,BRONX,Multiple Dwelling 'A' - Compactor fire,Structural Fires,10454,10,669273.0,16880.0
2023,BRONX,Multiple Dwelling 'A' - Food on the stove fire,Structural Fires,10454,105,669273.0,16880.0
2023,BRONX,Multiple Dwelling 'A' - Other fire,Structural Fires,10454,58,669273.0,16880.0
2023,BRONX,Multiple Dwelling 'B' Fire,Structural Fires,10454,15,669273.0,16880.0
2023,BRONX,Non-Medical 10-91 (Unnecessary Alarm),NonMedical Emergencies,10454,9,669273.0,16880.0
2023,BRONX,Non-Medical MFA - ERS,NonMedical MFAs,10454,1,669273.0,16880.0
2023,BRONX,Non-Medical MFA - Phone,NonMedical MFAs,10454,109,669273.0,16880.0
2023,BRONX,Non-Medical MFA - Private Fire Alarm,NonMedical MFAs,10454,24,669273.0,16880.0
